Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100nF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",44.8250,-45.2015,90.0000,bottom
"C2","100nF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",72.3250,-45.2015,270.0000,bottom
"D1","1N4148","D_SOD-123",39.5250,-36.6040,90.0000,bottom
"D2","1N4148","D_SOD-123",77.6250,-36.6040,90.0000,bottom
"D3","1N4148","D_SOD-123",47.1450,-58.0670,90.0000,bottom
"D4","1N4148","D_SOD-123",66.1950,-58.0670,90.0000,bottom
"D5","1N4148","D_SOD-123",85.2450,-58.0670,90.0000,bottom
"D6","1N4148","D_SOD-123",47.0180,-77.2440,90.0000,bottom
"D7","1N4148","D_SOD-123",66.1950,-77.1170,90.0000,bottom
"D8","1N4148","D_SOD-123",85.3720,-77.2440,90.0000,bottom
"LED1","SK6812MINI-E","LED_SK6812MINI-E",77.6250,-63.6550,180.0000,bottom
"LED2","SK6812MINI-E","LED_SK6812MINI-E",58.5750,-63.6550,180.0000,bottom
"LED3","SK6812MINI-E","LED_SK6812MINI-E",39.5250,-63.6550,180.0000,bottom
"LED4","SK6812MINI-E","LED_SK6812MINI-E",39.5250,-82.7050,0.0000,bottom
"LED5","SK6812MINI-E","LED_SK6812MINI-E",58.5750,-82.7050,0.0000,bottom
"LED6","SK6812MINI-E","LED_SK6812MINI-E",77.6250,-82.7050,0.0000,bottom
"SW3","SW_Push","SW_MX_HotSwap_sqSilk",39.5250,-58.5750,180.0000,bottom
"SW4","SW_Push","SW_MX_HotSwap_sqSilk",58.5750,-58.5750,180.0000,bottom
"SW5","SW_Push","SW_MX_HotSwap_sqSilk",77.6250,-58.5750,180.0000,bottom
"SW6","SW_Push","SW_MX_HotSwap_sqSilk",39.5250,-77.6250,180.0000,bottom
"SW7","SW_Push","SW_MX_HotSwap_sqSilk",58.5750,-77.6250,180.0000,bottom
"SW8","SW_Push","SW_MX_HotSwap_sqSilk",77.6250,-77.6250,180.0000,bottom
"U1","XIAO-RP2040","MCU_XIAO-RP2040",58.5750,-31.5450,0.0000,top
"U2","SN74LV1T125DBV","SOT-23-5",72.7482,-68.1000,0.0000,bottom
